date,clinic_id,clinic_name,country,medicine_stock_units,medicine_stock_capacity,beds_available,beds_total,staff_present,staff_total,patient_footfall
2026-08-01,IN-01,Sitapur PHC,India,855.0,1000,18,20,6,8,49
2026-08-02,IN-01,Sitapur PHC,India,816.2,1000,19,20,6,8,50
2026-08-03,IN-01,Sitapur PHC,India,778.2,1000,13,20,7,8,56
2026-08-04,IN-01,Sitapur PHC,India,755.7,1000,11,20,8,8,59
2026-08-05,IN-01,Sitapur PHC,India,737.6,1000,20,20,7,8,46
2026-08-06,IN-01,Sitapur PHC,India,703.9,1000,20,20,8,8,57
2026-08-07,IN-01,Sitapur PHC,India,674.6,1000,10,20,6,8,38
2026-08-08,IN-01,Sitapur PHC,India,658.2,1000,20,20,6,8,48
2026-08-09,IN-01,Sitapur PHC,India,637.0,1000,17,20,6,8,58
2026-08-10,IN-01,Sitapur PHC,India,597.3,1000,11,20,6,8,54
2026-08-11,IN-01,Sitapur PHC,India,562.5,1000,13,20,8,8,47
2026-08-12,IN-01,Sitapur PHC,India,533.6,1000,18,20,8,8,51
2026-08-13,IN-01,Sitapur PHC,India,524.4,1000,10,20,7,8,32
2026-08-14,IN-01,Sitapur PHC,India,491.2,1000,18,20,8,8,32
2026-08-15,IN-01,Sitapur PHC,India,450.6,1000,17,20,8,8,52
2026-08-16,IN-01,Sitapur PHC,India,429.5,1000,18,20,8,8,41
2026-08-17,IN-01,Sitapur PHC,India,401.4,1000,16,20,7,8,51
2026-08-18,IN-01,Sitapur PHC,India,361.9,1000,12,20,7,8,39
2026-08-19,IN-01,Sitapur PHC,India,324.7,1000,19,20,7,8,51
2026-08-20,IN-01,Sitapur PHC,India,309.0,1000,11,20,6,8,46
2026-08-21,IN-01,Sitapur PHC,India,269.0,1000,19,20,8,8,43
2026-08-01,IN-02,Rampur PHC,India,677.7,800,13,15,4,6,57
2026-08-02,IN-02,Rampur PHC,India,668.5,800,8,15,4,6,42
2026-08-03,IN-02,Rampur PHC,India,677.7,800,10,15,4,6,33
2026-08-04,IN-02,Rampur PHC,India,654.3,800,13,15,6,6,34
2026-08-05,IN-02,Rampur PHC,India,684.3,800,10,15,4,6,36
2026-08-06,IN-02,Rampur PHC,India,692.1,800,13,15,4,6,48
2026-08-07,IN-02,Rampur PHC,India,698.0,800,10,15,4,6,58
2026-08-08,IN-02,Rampur PHC,India,663.7,800,13,15,4,6,51
2026-08-09,IN-02,Rampur PHC,India,686.2,800,14,15,6,6,43
2026-08-10,IN-02,Rampur PHC,India,677.8,800,11,15,4,6,48
2026-08-11,IN-02,Rampur PHC,India,687.4,800,9,15,4,6,41
2026-08-12,IN-02,Rampur PHC,India,663.9,800,11,15,4,6,35
2026-08-13,IN-02,Rampur PHC,India,689.7,800,8,15,6,6,56
